ano	regiao	sg_estado	id_cbo	renda_mensal_total	total_empregos	total_estabelecimentos
2014	Norte	AC	2623	10348.48	4	2
2014	Norte	AC	2624	66727.36	37	22
2014	Norte	AC	2626	803.64	1	1
2014	Norte	AC	2627	39712.18	21	2
2014	Norte	AC	2628	5164.15	4	4
2014	Norte	AC	2629	1849.99	2	1
2014	Norte	AC	2631	28753.6	18	6
2014	Norte	AC	2711	45552.64	47	26
2014	Norte	AC	3001	9788.83	7	3
2014	Norte	AC	3003	23102.86	17	7
2014	Norte	AC	3011	59543.2	32	14
2014	Norte	AC	3111	196041.88	39	12
2014	Norte	AC	3112	1073.27	1	1
2014	Norte	AC	3113	5177.25	5	2
2014	Norte	AC	3114	58212.19	34	2
2014	Norte	AC	3115	78912.84	38	7
2014	Norte	AC	3116	3391.53	2	2
2014	Norte	AC	3117	4442.37	4	3
2014	Norte	AC	3121	672401.61	92	30
2014	Norte	AC	3122	54180.79	21	6
2014	Norte	AC	3123	107646.57	60	25
2014	Norte	AC	3131	663393.76	179	43
2014	Norte	AC	3132	224446.34	143	79
2014	Norte	AC	3133	177590.49	67	24
2014	Norte	AC	3134	76987.19	43	17
2014	Norte	AC	3135	6055.16	3	3
2014	Norte	AC	3141	243607.13	126	44
2014	Norte	AC	3142	3905.17	2	2
2014	Norte	AC	3144	65562.85	37	11
2014	Norte	AC	3146	5436.84	4	1
2014	Norte	AC	3171	100036.52	26	11
2014	Norte	AC	3172	199299.79	101	64
2014	Norte	AC	3180	96442.68	38	13
2014	Norte	AC	3181	59548.09	27	11
2014	Norte	AC	3183	1999.89	1	1
2014	Norte	AC	3184	7675.67	4	3
2014	Norte	AC	3185	18577.89	13	9
2014	Norte	AC	3186	843.01	1	1
2014	Norte	AC	3187	7659.1	4	2
2014	Norte	AC	3188	7704.95	5	3
2014	Norte	AC	3201	2027.2	2	1
2014	Norte	AC	3211	661772.04	230	25
2014	Norte	AC	3212	68894.09	46	14
2014	Norte	AC	3213	9629.1	5	2
2014	Norte	AC	3221	21424.03	21	9
2014	Norte	AC	3222	4335129.85	2366	62
2014	Norte	AC	3223	23877.64	17	6
2014	Norte	AC	3224	367643.45	308	95
2014	Norte	AC	3225	35082.88	12	2
2014	Norte	AC	3226	1523.88	1	1
2014	Norte	AC	3231	3304.77	3	1
2014	Norte	AC	3241	363739.48	150	23
2014	Norte	AC	3242	421292.41	204	16
2014	Norte	AC	3250	48387.48	4	1
2014	Norte	AC	3251	179022.19	121	16
2014	Norte	AC	3252	19338.97	10	5
2014	Norte	AC	3253	4692.57	3	3
2014	Norte	AC	3311	214458.83	236	21
2014	Norte	AC	3312	1981743.57	1024	25
2014	Norte	AC	3313	5980.56	4	2
2014	Norte	AC	3321	25559.28	14	2
2014	Norte	AC	3322	312665.6	181	2
2014	Norte	AC	3331	237266.8	210	43
2014	Norte	AC	3341	327197.79	301	49
2014	Norte	AC	3411	47989.78	19	6
2014	Norte	AC	3412	88487.9	100	5
2014	Norte	AC	3413	21380.92	19	7
2014	Norte	AC	3421	32893.49	24	15
2014	Norte	AC	3422	16264.32	16	8
2014	Norte	AC	3423	94729.1	53	38
